epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4551,1.12645,3.82791,1.15919,0.02344,0.26242,0.17532,0.10367,1.09651,3.68762,1.02952,0.000308611,0.000308611,0.000308611
2,38.5427,0.96435,2.98321,1.01376,0.03966,0.52496,0.30632,0.18951,1.00912,3.08486,0.99277,0.000677103,0.000677103,0.000677103
3,54.5276,0.8938,2.02989,0.98969,0.91156,0.3125,0.31982,0.12485,1.1795,2.77299,1.10395,0.00103793,0.00103793,0.00103793
4,71.1517,0.89735,1.55848,0.98294,0.90662,0.30729,0.3661,0.20198,1.12336,2.2331,1.06726,0.00108408,0.00108408,0.00108408
5,87.7169,0.77608,1.33343,0.96757,0.89982,0.3219,0.35535,0.25379,0.87858,1.92239,0.99039,0.00106345,0.00106345,0.00106345
6,103.851,0.70502,1.23902,0.96742,0.65567,0.46702,0.48835,0.34145,0.84976,1.72722,1.02113,0.00103732,0.00103732,0.00103732
7,120.209,0.64835,1.06943,0.93564,0.44555,0.5585,0.57028,0.42072,0.75412,1.53425,0.96398,0.00100597,0.00100597,0.00100597
8,137.044,0.60392,0.97881,0.91697,0.55533,0.62856,0.65887,0.52012,0.6484,1.33763,0.94231,0.000969744,0.000969744,0.000969744
9,154.064,0.58658,0.90717,0.91356,0.61778,0.6431,0.70794,0.57403,0.63054,1.2527,0.92805,0.00092904,0.00092904,0.00092904
10,170.457,0.53502,0.8303,0.89327,0.6388,0.61131,0.73079,0.57886,0.65948,1.26924,0.91706,0.000884305,0.000884305,0.000884305
11,186.429,0.50319,0.82261,0.90031,0.61573,0.66727,0.76062,0.61986,0.57306,1.20681,0.90006,0.000836028,0.000836028,0.000836028
12,202.719,0.49547,0.78397,0.88434,0.6336,0.80796,0.81514,0.66161,0.55886,1.04846,0.89347,0.000784738,0.000784738,0.000784738
13,219.144,0.47074,0.73814,0.88546,0.63215,0.80337,0.82703,0.67808,0.52686,1.02432,0.88109,0.000730997,0.000730997,0.000730997
14,235.381,0.43738,0.71724,0.87411,0.64517,0.77292,0.83877,0.71127,0.48412,0.97518,0.87156,0.000675395,0.000675395,0.000675395
15,251.536,0.45549,0.72267,0.86457,0.65928,0.81105,0.84185,0.72729,0.49126,0.92049,0.87192,0.00061854,0.00061854,0.00061854
16,268.124,0.43575,0.67343,0.86118,0.71047,0.84367,0.8599,0.74363,0.46385,0.74752,0.85776,0.000561055,0.000561055,0.000561055
17,284.138,0.42215,0.62984,0.85757,0.73492,0.84951,0.87004,0.7612,0.42985,0.71158,0.85126,0.00050357,0.00050357,0.00050357
18,300.238,0.42237,0.63087,0.86268,0.77235,0.83751,0.9085,0.81546,0.39634,0.68781,0.84342,0.000446715,0.000446715,0.000446715
19,317.11,0.40416,0.61063,0.85623,0.8831,0.82398,0.91926,0.8297,0.39626,0.65749,0.843,0.000391113,0.000391113,0.000391113
20,333.665,0.40637,0.58906,0.85156,0.92328,0.91048,0.94387,0.85991,0.37202,0.58487,0.84081,0.000337372,0.000337372,0.000337372
21,349.104,0.37119,0.6354,0.85011,0.9232,0.93315,0.94664,0.86947,0.36668,0.57688,0.83998,0.000286083,0.000286083,0.000286083
22,364.176,0.3836,0.63379,0.84798,0.96004,0.93895,0.94631,0.87139,0.35319,0.58152,0.83869,0.000237805,0.000237805,0.000237805
23,379.464,0.35856,0.59197,0.83731,0.96028,0.94223,0.94545,0.87579,0.34496,0.58695,0.83651,0.00019307,0.00019307,0.00019307
24,395.278,0.34746,0.5573,0.84375,0.96721,0.93867,0.9451,0.86959,0.33586,0.57149,0.8341,0.000152366,0.000152366,0.000152366
25,410.844,0.34671,0.54973,0.84133,0.97014,0.93644,0.94402,0.87149,0.33064,0.56191,0.8341,0.00011614,0.00011614,0.00011614
26,426.499,0.33555,0.52798,0.82596,0.9693,0.94056,0.94452,0.87323,0.32119,0.53826,0.8336,8.47887e-05,8.47887e-05,8.47887e-05
27,442.002,0.34467,0.53804,0.83844,0.96955,0.9419,0.94521,0.87251,0.31628,0.52698,0.83295,5.86552e-05,5.86552e-05,5.86552e-05
28,457.826,0.33659,0.53292,0.8367,0.96906,0.94415,0.94657,0.8775,0.30934,0.5108,0.8326,3.80262e-05,3.80262e-05,3.80262e-05
29,473.588,0.33362,0.51963,0.83808,0.97002,0.94508,0.94721,0.87728,0.30658,0.50563,0.83245,2.31276e-05,2.31276e-05,2.31276e-05
30,489.068,0.32202,0.51229,0.82808,0.97088,0.94554,0.94744,0.87965,0.30237,0.49808,0.83269,1.41227e-05,1.41227e-05,1.41227e-05
